sequence	batch	scene	relative_path	verb_key	binyan	tense	row	pronoun	text
1	1	1	details/katav/example-01.mp3	katav	Paal	details	1		הוא כָּתַב מִכְתָּב אֲרֹךְ.
2	1	2	details/katav/example-02.mp3	katav	Paal	details	2		הם כָּתְבוּ סִפְרִים מְעַנְיְנִים.
3	1	3	details/lamad/example-01.mp3	lamad	Paal	details	1		אני לָמַדְתִּי עִבְרִית בָּאוּנִיבֶרְסִיטָה.
4	1	4	details/lamad/example-02.mp3	lamad	Paal	details	2		הילדים לוֹמְדִים בֵּית סֵפֶר.
5	1	5	details/kara/example-01.mp3	kara	Paal	details	1		היא קוֹרֵאת סֵפֶר חָדָשׁ.
6	1	6	details/kara/example-02.mp3	kara	Paal	details	2		אנחנו קָרָאנוּ אֶת הַמֶּסֶר.
7	1	7	details/shir/example-01.mp3	shir	Paal	details	1		היא שָׁרָה שִׁיר יָפֶה.
8	1	8	details/shir/example-02.mp3	shir	Paal	details	2		אנחנו נָשִׁיר בַּמַּסִּבָּה מָחָר.
9	1	9	details/shamar/example-01.mp3	shamar	Paal	details	1		הוא שָׁמַר עַל הַבַּיִת בַּלַּיְלָה.
10	1	10	details/shamar/example-02.mp3	shamar	Paal	details	2		אני שׁוֹמֵר עַל הַסוֹד שֶׁלָּךְ.
11	1	11	details/shamar/example-03.mp3	shamar	Paal	details	3		נִשְׁמוֹר עַל הַמָּסֹרֶת הַזּוֹ.
12	1	12	details/ratz/example-01.mp3	ratz	Paal	details	1		הילדים רָצִים בַּפָּארְק כָּל בּוֹקֶר.
13	1	13	details/ratz/example-02.mp3	ratz	Paal	details	2		היא רָצָה מָהֵר לַאֲוִוירוֹן.
14	1	14	details/avad/example-01.mp3	avad	Paal	details	1		אנחנו עוֹבְדִים בְּיַחַד עַל הַפְּרוֹיֶקְט.
15	1	15	details/avad/example-02.mp3	avad	Paal	details	2		הוא עָבַד בְּחֶבְרָה גְּדוֹלָה.
16	1	16	details/sichek/example-01.mp3	sichek	Piel	details	1		הילדים מְשַׂחֲקִים בַּחֲצֵר.
17	1	17	details/sichek/example-02.mp3	sichek	Piel	details	2		הוא שִׂחֵק בַּסֶּרֶט הַחָדָשׁ.
18	1	18	details/tzachak/example-01.mp3	tzachak	Paal	details	1		היא צָחֲקָה מִן הַבְּדִיחָה.
19	1	19	details/tzachak/example-02.mp3	tzachak	Paal	details	2		אנחנו צוֹחֲקִים יַחַד.
20	1	20	details/shata/example-01.mp3	shata	Paal	details	1		הוא שָׁתָה כוֹס מַיִם.
21	1	21	details/shata/example-02.mp3	shata	Paal	details	2		אנחנו שׁוֹתִים קָפֶה בַּבֹּקֶר.
22	1	22	details/ra-ah/example-01.mp3	ra'ah	Paal	details	1		היא רָאֲתָה סֶרֶט מְעֻלֶּה.
23	1	23	details/ra-ah/example-02.mp3	ra'ah	Paal	details	2		האם אתה רוֹאֶה אֶת הַכּוֹכָבִים?
24	1	24	details/paal/example-01.mp3	paal	Paal	details	1		הוא פָּעַל בְּמַהֲלַךְ הַמִּשְׁבָּר.
25	1	25	details/paal/example-02.mp3	paal	Paal	details	2		אנחנו פּוֹעֲלִים לְמַעַן הַסְּבִיבָה.
26	1	26	details/achal/example-01.mp3	achal	Paal	details	1		אנחנו אוֹכְלִים אֲרוּחָה בְּיָחַד.
27	1	27	details/achal/example-02.mp3	achal	Paal	details	2		הוא אָכַל בַּמִּסְעָדָה הַחֲדָשָׁה.
28	1	28	details/halach/example-01.mp3	halach	Paal	details	1		אני הוֹלֵךְ לַחֲנוּת.
29	1	29	details/halach/example-02.mp3	halach	Paal	details	2		היא הָלְכָה לְבַקֵּר אֶת סַבְתָּהּ.
30	1	30	details/yada/example-01.mp3	yada	Paal	details	1		אני יוֹדֵעַ אֶת הַתְּשׁוּבָה.
31	1	31	details/yada/example-02.mp3	yada	Paal	details	2		היא יָדְעָה אֶת הַסּוֹד.
32	1	32	details/hevin/example-01.mp3	hevin	Hifil	details	1		אני מֵבִין אֶת הַמַּצָּב.
33	1	33	details/hevin/example-02.mp3	hevin	Hifil	details	2		היא לֹא הֵבִינָה אֶת הַשְּׁאֵלָה.
34	1	34	details/amar/example-01.mp3	amar	Paal	details	1		היא אָמְרָה שֶׁהִיא תָּבוֹא.
35	1	35	details/amar/example-02.mp3	amar	Paal	details	2		מה אַתָּה אוֹמֵר?
36	1	36	details/ba/example-01.mp3	ba	Paal	details	1		האם תָּבוֹא לַמְּסִבָּה?
37	1	37	details/ba/example-02.mp3	ba	Paal	details	2		הם בָּאוּ מִמְּקוֹמוֹת רְחוֹקִים.
38	1	38	details/chashav/example-01.mp3	chashav	Paal	details	1		אני חוֹשֵׁב שֶׁזֶּה רַעְיוֹן טוֹב.
39	1	39	details/chashav/example-02.mp3	chashav	Paal	details	2		היא חָשְׁבָה עַל הַהַצָּעָה.
40	1	40	details/ahav/example-01.mp3	ahav	Paal	details	1		היא אוֹהֶבֶת שׁוֹקוֹלָד.
41	1	41	details/ahav/example-02.mp3	ahav	Paal	details	2		הם אָהֲבוּ לְטַיֵּל בַּטֶּבַע.
42	1	42	details/ratzah/example-01.mp3	ratzah	Paal	details	1		אני רוֹצֶה לְלֶכֶת לַסֶּרֶט.
43	1	43	details/ratzah/example-02.mp3	ratzah	Paal	details	2		מה אַתָּה רוֹצֶה לֶאֱכֹל?
44	1	44	details/natan/example-01.mp3	natan	Paal	details	1		היא נָתְנָה לוֹ מַתָּנָה יָפָה.
45	1	45	details/natan/example-02.mp3	natan	Paal	details	2		אפשר לִתֵּן עֲזוֹר לַצְּווּת.
